ZipCode,MedianIncome
5452,D: 60-80k
5454,D: 60-80k
5455,D: 60-80k
5456,C: 40-60k
5457,C: 40-60k
5458,D: 60-80k
5459,C: 40-60k
5461,D: 60-80k
5462,D: 60-80k
1434,D: 60-80k
5463,C: 40-60k
5464,D: 60-80k
5465,E: 80-100k
5468,D: 60-80k
5471,C: 40-60k
5472,D: 60-80k
5473,D: 60-80k
5474,D: 60-80k
5476,C: 40-60k
5477,D: 60-80k
1436,D: 60-80k
5478,C: 40-60k
5482,F: 100-120k
5483,D: 60-80k
5486,D: 60-80k
5487,D: 60-80k
5488,C: 40-60k
5489,E: 80-100k
5491,C: 40-60k
1438,D: 60-80k
5492,D: 60-80k
5494,E: 80-100k
5495,D: 60-80k
5602,D: 60-80k
5641,C: 40-60k
5647,C: 40-60k
5648,D: 60-80k
5649,E: 80-100k
5650,C: 40-60k
1440,C: 40-60k
5651,D: 60-80k
5652,D: 60-80k
5653,C: 40-60k
5654,C: 40-60k
5655,C: 40-60k
5656,B: 20-40k
5657,F: 100-120k
5658,C: 40-60k
5660,D: 60-80k
5661,C: 40-60k
1450,F: 100-120k
5663,D: 60-80k
5667,D: 60-80k
5669,C: 40-60k
5672,D: 60-80k
5673,D: 60-80k
5674,D: 60-80k
5675,C: 40-60k
5676,D: 60-80k
5677,D: 60-80k
1451,G: 120-140k
5678,D: 60-80k
5679,C: 40-60k
5680,C: 40-60k
5681,D: 60-80k
5682,C: 40-60k
5701,C: 40-60k
5730,D: 60-80k
5732,C: 40-60k
5733,C: 40-60k
5734,D: 60-80k
1452,E: 80-100k
5735,C: 40-60k
5736,C: 40-60k
5737,C: 40-60k
5738,D: 60-80k
5739,C: 40-60k
5742,C: 40-60k
5743,C: 40-60k
5744,D: 60-80k
5747,C: 40-60k
1453,C: 40-60k
5748,C: 40-60k
5751,C: 40-60k
5753,C: 40-60k
5757,C: 40-60k
5758,C: 40-60k
5759,C: 40-60k
5760,C: 40-60k
5761,C: 40-60k
5762,D: 60-80k
5763,C: 40-60k
1460,F: 100-120k
5764,C: 40-60k
5765,C: 40-60k
5766,C: 40-60k
5767,C: 40-60k
5769,C: 40-60k
5770,D: 60-80k
5772,C: 40-60k
5773,C: 40-60k
5774,C: 40-60k
5775,C: 40-60k
1028,E: 80-100k
1462,E: 80-100k
5776,C: 40-60k
5777,C: 40-60k
5778,C: 40-60k
5819,C: 40-60k
5820,B: 20-40k
5821,D: 60-80k
5822,B: 20-40k
5824,C: 40-60k
5825,D: 60-80k
5826,C: 40-60k
1463,E: 80-100k
5827,C: 40-60k
5828,C: 40-60k
5829,B: 20-40k
5830,C: 40-60k
5832,D: 60-80k
5833,C: 40-60k
5836,C: 40-60k
5837,C: 40-60k
5839,C: 40-60k
5841,C: 40-60k
1464,D: 60-80k
5842,B: 20-40k
5843,B: 20-40k
5845,B: 20-40k
5846,B: 20-40k
5847,C: 40-60k
5851,B: 20-40k
5853,B: 20-40k
5855,C: 40-60k
5857,C: 40-60k
1467,J: 180-200k
5858,C: 40-60k
5859,C: 40-60k
5860,C: 40-60k
5862,C: 40-60k
5866,C: 40-60k
5867,B: 20-40k
5868,B: 20-40k
5871,C: 40-60k
5872,C: 40-60k
5873,C: 40-60k
1468,D: 60-80k
5874,D: 60-80k
5875,D: 60-80k
5901,C: 40-60k
5902,B: 20-40k
5903,C: 40-60k
5904,B: 20-40k
5905,B: 20-40k
5906,C: 40-60k
5907,B: 20-40k
6001,G: 120-140k
1469,D: 60-80k
6002,D: 60-80k
6010,D: 60-80k
6013,F: 100-120k
6016,D: 60-80k
6018,D: 60-80k
6019,E: 80-100k
6021,D: 60-80k
6023,F: 100-120k
1473,E: 80-100k
6024,D: 60-80k
6026,D: 60-80k
6027,E: 80-100k
6029,E: 80-100k
6031,E: 80-100k
6032,E: 80-100k
6033,F: 100-120k
6035,E: 80-100k
6037,E: 80-100k
6039,D: 60-80k
1474,E: 80-100k
6040,D: 60-80k
6042,D: 60-80k
6043,E: 80-100k
6051,B: 20-40k
6052,D: 60-80k
6053,C: 40-60k
6057,E: 80-100k
6058,D: 60-80k
6060,G: 120-140k
1475,C: 40-60k
6062,C: 40-60k
6063,E: 80-100k
6065,E: 80-100k
6066,D: 60-80k
6067,E: 80-100k
6068,E: 80-100k
6069,D: 60-80k
6070,F: 100-120k
6071,E: 80-100k
1501,D: 60-80k
6073,I: 160-180k
6074,E: 80-100k
6076,D: 60-80k
6078,E: 80-100k
6081,D: 60-80k
6082,D: 60-80k
6084,F: 100-120k
6085,E: 80-100k
6088,D: 60-80k
6089,E: 80-100k
